,source,target,value
0,France,Italy,10
1,Italy,Russia,6
2,Germany,Russia,26
3,Bulgaria,Germany,6
4,Bulgaria,Russia,6
5,Germany,Italy,26
6,Austria,Germany,11
7,Germany,Spain,1
8,France,Poland,11
9,France,Germany,31
10,Germany,Poland,28
11,Estonia,Germany,5
12,Estonia,Latvia,12
13,Latvia,Lithuania,6
14,Finland,Lithuania,12
15,Finland,Germany,5
16,Belgium,Poland,5
17,Belgium,Netherlands,6
18,Luxembourg,Netherlands,6
19,Belgium,Luxembourg,4
20,Belgium,Denmark,6
21,Denmark,Norway,12
22,Denmark,Sweden,6
23,Germany,Sweden,6
24,Albania,Greece,12
25,Greece,Ukraine,2
26,Belarus,Ukraine,6
27,Belarus,Libya,3
28,Egypt,Libya,16
29,Egypt,Iraq,5
30,Germany,Japan,24
31,Japan,Russia,16
32,Germany,Morocco,2
33,Algeria,Morocco,6
34,Algeria,Italy,5
35,Japan,Thailand,6
36,Singapore,Thailand,6
37,Japan,Singapore,5
38,Japan,Philippines,11
39,Japan,Solomon Islands,9
40,India,Japan,11
41,France,Russia,6
42,France,India,6
43,India,Pakistan,18
44,Israel,Pakistan,6
45,Israel,South Africa,11
46,Israel,Libya,5
47,Iran,Libya,6
48,Germany,Iran,3
49,France,Japan,4
50,India,Papua New Guinea,3
51,Pakistan,Philippines,6
52,Laos,Philippines,5
53,Cambodia,Laos,6
54,Cambodia,Kenya,6
55,Ghana,Kenya,6
56,Ghana,Seychelles,6
57,Angola,Seychelles,5
58,Estonia,Lithuania,6
59,Finland,Romania,6
60,Albania,Romania,5
61,Albania,Bulgaria,6
62,Bulgaria,Poland,6
63,Poland,Romania,6
64,Hungary,Romania,6
65,Hungary,Mongolia,4
66,Cuba,Mongolia,6
67,Cuba,United States,7
68,Canada,United States,2
69,Australia,Canada,6
70,Australia,Vietnam,4
71,Cambodia,Vietnam,4
72,Cuba,Vietnam,5
73,Russia,United States,2
74,Finland,Russia,6
75,Greece,Italy,4
76,Italy,Japan,6
77,Romania,Russia,6
78,India,Lebanon,3
79,India,Singapore,5
